'UpdateNextTimelines', 'DragDropTarget', 'Update the following schedules', 'Mettre à jour les horaires suivants'
'ShowFaces', 'DragDropTarget', 'Show target faces', 'Afficher les blasons'
'PrintPlan', 'DragDropTarget', 'Print target plan', 'Imprimer le plan de cible'
'NotScheduled', 'DragDropTarget', 'Not Scheduled', 'Non planifié'
'AddWarmup', 'DragDropTarget', 'Add Warmup', 'Ajouter échauffement'
'Slot', 'DragDropTarget', 'Slot', 'Créneau'
'AddSlot', 'DragDropTarget', 'Add Time Slot', 'Ajouter un créneau horaire'
'RemoveSlot', 'DragDropTarget', 'Remove Time Slot', 'Supprimer un créneau horaire'
'ClearSlot', 'DragDropTarget', 'Clear Time Slot (resend all phases in not-scheduled)', 'Vider la ligne (renvoyer les phases en non-planifiés)'
'AddTarget', 'DragDropTarget', 'Add target', 'Ajouter une cible'
'RemoveTarget', 'DragDropTarget', 'Remove target', 'Supprimer la cible'
'CmdModify', 'DragDropTarget', 'Modify', 'Modifier'
'Switch1Wave', 'DragDropTarget', 'Switch to 1 wave', 'Réduire à 1 vague'
'Switch2Waves', 'DragDropTarget', 'Switch to 2 waves', 'Passer en 2 vagues'
'Conflict', 'DragDropTarget', 'Conflict', 'Conflit'
'RemovePhase', 'DragDropTarget', 'Remove phase', 'Retirer cette phase'
'Split', 'DragDropTarget', 'Split', 'Segmenter'
'Switch2Archers', 'DragDropTarget', '1 archer/target - click to switch to 2', '1 archer/cible — cliquer pour passer à 2'
'Switch1Archer', 'DragDropTarget', '2 archers/target - click to switch to 1', '2 archers/cible — cliquer pour passer à 1'
'ChangesNotSaved', 'DragDropTarget', 'Changes not saved', 'Modifications non sauvegardées'
'ConfirmRemoveSlot', 'DragDropTarget', 'This slot contains phases. Confirm remove ?', 'Ce créneau contient des phases. Confirmer la suppression ?'
'ConfirmRemoveTarget', 'DragDropTarget', 'Used by phases. Confirm remve ?', 'est utilisée par des phases. Confirmer la suppression ?'
'AlertSwitch1Wave', 'DragDropTarget', 'Remove the blocks from CD wave before switching 1 wave.', 'Retirez les blocs de la vague CD avant de repasser en 1 vague.'
'Saving', 'DragDropTarget', 'Saving...', 'Enregistrement...'
'Saved', 'DragDropTarget', 'Saved...', 'Enregistré...'
'SavedWithError', 'DragDropTarget', 'Saved with errors:', 'Enregistré avec erreurs:'
'Unknown', 'DragDropTarget', 'Unknown', 'inconnue'
'LostUnsaved', 'DragDropTarget', 'Unsaved changes will be lost.', 'Des modifications non sauvegardées seront perdues.'
'UnassignAllOfSession', 'DragDropTarget', 'Unassign all archers from all targets of this session ?', 'Désaffecter tous les archers de toutes les cibles de ce départ ?'
'UnassignAllOfTarget', 'DragDropTarget', 'Unassign all archers from target __TARGET__ ?', 'Désaffecter tous les archers de la cible __TARGET__ ?'
'GlobalRecap', 'DragDropTarget','Global recap of target faces','Récap global blasons'
'FaceType', 'DragDropTarget','Type of target face','Type de blason'
'Quantity', 'DragDropTarget','Quantity','Quantité'
'Coeff', 'DragDropTarget','Coeff','Coeff'
'GrandTotal', 'DragDropTarget', 'Grand total','Total général'
'CopyCart', 'DragDropTarget', 'Cart copied to clipboard.', 'Commande copiée dans le presse-papiers.'
'RemoveArcher', 'DragDropTarget', 'Permanently delete « __ARCHER__ » ?\nThis action is irreversible.', 'Supprimer définitivement « __ARCHER__ » ?\nCette action est irréversible.'
'WithoutSession', 'DragDropTarget', 'Without session', 'Sans départ'
'OrderFaces', 'DragDropTarget', 'Order Faces', 'Commande de blasons'
'AllPartecipantsHaveSession', 'DragDropTarget', 'All partecipants are assigned to a session', 'Tous les archers ont un départ'
'TargetFree', 'DragDropTarget', 'Free', 'Libre'
'TargetFull', 'DragDropTarget', 'Full', 'Complet'
'TargetMajority', 'DragDropTarget', 'Majority Country/Club', 'Pays/Club majoritaire'
'TargetUnique', 'DragDropTarget', 'Only one Country/Club', 'Un seul Pays/Club'
'TargetMixDistance', 'DragDropTarget', 'Mix distances', 'Distances mixtes'
'TargetWrongTargetFace', 'DragDropTarget', 'Wrong target face', 'Blason incompatible'
'TargetSameLetter', 'DragDropTarget', 'Archers on same letter', 'Archers sur la même lettre'
'MoveTarget', 'DragDropTarget', 'Move target', 'Déplacer la cible'
'UnassignTarget', 'DragDropTarget', 'Unassign all archers from target', 'Désaffecter tous les archers de la cible'
'NoTargetFace', 'DragDropTarget', 'No target face', 'Aucun blason'
'Copy', 'DragDropTarget', 'Copy', 'Copier'
'ParticipantsTargetFace', 'DragDropTarget', 'Participants/Target face', 'Archers/blason'

